,XGB_MSE,XGB_RMSE,XGB_MAE,XGB_R2,XGB_Direction_Acc,LSTM_MSE,LSTM_RMSE,LSTM_MAE,LSTM_R2,LSTM_Direction_Acc,Ensemble_MSE,Ensemble_RMSE,Ensemble_MAE,Ensemble_R2,Ensemble_Direction_Acc
Training,0.0014517094241455197,0.03810130475647153,0.02817574329674244,0.25493669509887695,0.6563464929872478,0.001922379364259541,0.043844946849774385,0.031636349856853485,0.013373970985412598,0.5406153904921978,0.0016029442194849253,0.040036785828596745,0.029404811561107635,0.17731821537017822,0.610806577916993
Validation,0.0014572225045412779,0.03817358385770555,0.028513941913843155,-0.05328106880187988,0.516,0.0013836085563525558,0.037196889068207784,0.02797722816467285,-7.283687591552734e-05,0.5615,0.001416564453393221,0.03763727478701428,0.028193611651659012,-0.02389347553253174,0.5371666666666667
Testing,0.0013790979282930493,0.037136207780184685,0.027921346947550774,-0.04476523399353027,0.513968253968254,0.0013545476831495762,0.036804180240151745,0.02763599157333374,-0.026166558265686035,0.5088888888888888,0.0013598717050626874,0.03687643834567931,0.027706187218427658,-0.03020000457763672,0.5114285714285715
Paper_2025,0.0011730408295989037,0.03424968364231856,0.025064565241336823,-0.039031386375427246,0.5085313086782595,0.001137448358349502,0.033726078312627784,0.02473018318414688,-0.007505059242248535,0.5195526165401257,0.0011510197073221207,0.03392668134849208,0.024847421795129776,-0.019526004791259766,0.5166136011102948
