,Period,Total Return (%),CAGR (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Calmar Ratio,Volatility (%),Win Rate (%),Best Day (%),Worst Day (%),Num Trades,Benchmark Return (%),Alpha (%),Benchmark Sharpe
Validation,2024-01-01 to 2024-06-28,15.928609168057871,36.75181193289785,2.169114372950669,2.413962346434613,-5.96993768233689,6.1561466615697755,17.55770292235967,60.50420168067227,3.8734229914187166,-5.969937682336894,20,10.434686839648254,5.493922328409617,1.4225848975006714
Testing,2024-07-01 to 2024-12-31,-6.253222023233096,-12.206168685443131,-0.5439575953227552,-0.7368931064646576,-14.338609811060998,-0.8512797855777571,13.589114726249097,49.6,2.342789575718195,-2.722925712107007,17,-2.059272153194136,-4.19394987003896,-0.2775621781304828
Paper_Trading_2025,2025-01-01 to 2025-12-23,10.411240975481274,10.770358948800919,1.2655302372195714,1.9822713305200284,-8.069349900735522,1.3347244922195278,12.388232337211571,49.18032786885246,3.8897959571570446,-2.8457333881874907,35,10.252538484982932,0.1587024904983414,0.9090673737549385
